listing_id,company,internship_title,domain,mode,location,country,stipend,stipend_currency,duration_months,required_skills,num_required_skills,bonus_skills,min_cgpa_required,min_year_required,eligible_branches,degree_required,experience_required,ppo_offered,certificate_provided,total_openings,total_applicants,posted_on,apply_by,company_tier,skill_coverage_score,is_relevant
LIST0011,Chargebee,Full Stack Development Intern,Full Stack Development,On-site,Noida,India,30351,INR,2,Express.js|Docker|Node.js,3,GraphQL|MongoDB,6.9,2,AI & Data Science|Computer Engineering|Computer Science|Information Technology,B.Sc CS,Fresher,0,1,18,315,2024-08-26,2025-03-01,0,0.3,0
LIST0012,ThoughtWorks,DevOps Intern,DevOps,Hybrid,Chennai,India,13372,INR,2,CI/CD|Bash|Docker|Ansible|Terraform,5,Git|Prometheus,6.4,3,AI & Data Science|Electronics,M.Tech|B.E.,1-2 years,0,1,8,91,2024-06-07,2025-09-14,0,0.45,1
LIST0013,Absolutdata,Data Science Intern,Data Science,Hybrid,Mumbai,India,14620,INR,6,Pandas|Excel|SQL|Python,4,Tableau|NumPy,5.4,3,Computer Science|Electronics,B.Tech|B.E.,1-2 years,1,1,16,205,2024-09-05,2025-04-11,0,0.33,1
LIST0014,Microsoft,Machine Learning Intern,Machine Learning,Remote,Remote,Singapore,3730,SGD,2,Model Deployment|PyTorch|TensorFlow,3,Scikit-learn|Feature Engineering,5.4,3,Information Technology|Computer Engineering|Electronics|AI & Data Science,B.E.|BCA|M.Tech,Fresher,1,1,11,518,2024-07-09,2025-09-03,1,0.3,1
LIST0015,Mu Sigma,Data Science Intern,Data Science,On-site,Noida,India,10036,INR,1,NumPy|Python|SQL|Pandas|Statistics,5,Excel|Seaborn,6.4,2,AI & Data Science|Computer Engineering|Electronics,BCA|B.E.,0-1 year,1,1,15,21,2024-08-07,2025-05-17,0,0.42,1
LIST0016,Nykaa,Android Development Intern,Android Development,Remote,Remote,India,8591,INR,1,Retrofit|SQLite|Firebase|Jetpack Compose|Kotlin,5,Java|REST API,5.4,1,Computer Science|AI & Data Science|Computer Engineering|Electronics,B.Tech|BCA,0-1 year,0,1,16,587,2024-11-12,2025-12-28,0,0.5,1
LIST0017,Roblox,Game Development Intern,Game Development,On-site,Toronto,Canada,3716,CAD,3,Unreal Engine|Blender|C++|Unity|OpenGL,5,Game Physics|DirectX,6.6,2,Computer Science|Information Technology|Computer Engineering|Electronics,BCA|M.Tech|B.Tech,0-1 year,1,1,13,22,2024-06-25,2025-12-09,1,0.5,1
LIST0018,Browserstack,DevOps Intern,DevOps,On-site,Chennai,India,24700,INR,1,Grafana|Prometheus|Kubernetes|Linux,4,CI/CD|Jenkins,6.5,2,Electronics|AI & Data Science|Computer Science|Computer Engineering|Information Technology,M.Tech,1-2 years,0,1,7,346,2024-12-14,2025-11-05,0,0.36,0
LIST0019,Stellapps,Computer Vision Intern,Computer Vision,On-site,Bangalore,India,34192,INR,2,PyTorch|MediaPipe|OpenCV|Python|Keras,5,Image Processing|YOLO,7.0,3,Information Technology|Electronics|Computer Engineering|Computer Science,BCA,1-2 years,0,1,17,273,2024-06-09,2025-11-04,0,0.5,0
LIST0020,Google,Machine Learning Intern,Machine Learning,Hybrid,San Francisco,USA,3866,USD,6,Keras|Jupyter|Model Deployment,3,Scikit-learn|TensorFlow,5.5,3,Electronics|AI & Data Science|Computer Science|Information Technology,B.E.|BCA|B.Sc CS,0-1 year,0,1,17,645,2024-10-05,2025-04-11,1,0.3,1
LIST0021,SigTuple,Computer Vision Intern,Computer Vision,On-site,Kolkata,India,22254,INR,1,MediaPipe|Python|Image Processing|NumPy,4,Keras|YOLO,5.0,1,Electronics|Computer Engineering|Computer Science|AI & Data Science|Information Technology,B.E.,1-2 years,0,1,9,97,2024-07-24,2025-04-04,0,0.4,1
LIST0022,Sarvam AI,NLP / GenAI Intern,NLP / GenAI,On-site,Ahmedabad,India,11655,INR,6,Python|LangChain|OpenAI API|GPT|Hugging Face,5,RAG|Transformers,6.6,2,Computer Science|AI & Data Science|Computer Engineering|Information Technology|Electronics,MCA,1-2 years,0,1,7,441,2024-11-08,2025-12-18,0,0.45,0
LIST0023,PagerDuty,DevOps Intern,DevOps,Remote,Remote,Singapore,1523,SGD,1,Docker|Bash|CI/CD|Jenkins|Kubernetes,5,Terraform|Git,6.3,3,AI & Data Science|Information Technology|Computer Science|Electronics,MCA|B.Tech|B.Sc CS,1-2 years,0,1,6,28,2024-09-07,2025-11-11,1,0.45,1
LIST0024,Tiger Analytics,Data Science Intern,Data Science,Hybrid,Kolkata,India,25851,INR,1,Matplotlib|Statistics|Seaborn|SQL|R|Tableau,6,NumPy|Pandas,5.7,1,AI & Data Science|Electronics,M.Tech|B.E.,Fresher,1,1,9,141,2024-11-10,2025-02-20,0,0.5,1
LIST0025,Anthropic,NLP / GenAI Intern,NLP / GenAI,Remote,Remote,Singapore,3045,SGD,6,Hugging Face|LangChain|GPT|Vector DBs|spaCy,5,OpenAI API|BERT,5.2,2,Electronics|Information Technology,MCA|B.Tech,Fresher,0,1,2,31,2024-12-17,2025-05-08,1,0.45,1
LIST0026,dbt Labs,Data Engineering Intern,Data Engineering,Hybrid,Toronto,Canada,3977,CAD,2,Apache Spark|Python|Airflow,3,Kafka|Snowflake,6.6,2,Computer Engineering|Information Technology|AI & Data Science|Computer Science|Electronics,MCA,1-2 years,0,1,18,608,2024-12-26,2025-03-05,1,0.27,0
LIST0027,Zomato,Web Development Intern,Web Development,On-site,Mumbai,India,28486,INR,6,TypeScript|React|REST API,3,Django|Node.js,6.9,2,Information Technology|Computer Engineering|Computer Science|AI & Data Science,B.E.|BCA|B.Sc CS,1-2 years,0,1,3,108,2024-09-27,2025-09-09,0,0.23,0
LIST0028,Dunzo,iOS Development Intern,iOS Development,On-site,Mumbai,India,26244,INR,2,Swift|Core Data|UIKit|Xcode,4,REST API|SwiftUI,6.3,1,AI & Data Science|Computer Science|Information Technology|Electronics,B.E.|B.Sc CS,1-2 years,0,1,15,299,2024-07-18,2025-03-01,0,0.4,1
LIST0029,ARM,Embedded Systems / IoT Intern,Embedded Systems / IoT,Hybrid,London,UK,2142,GBP,2,Sensors|C|PCB Design|IoT Protocols,4,MQTT|Assembly,7.0,2,Computer Science|Computer Engineering|AI & Data Science,B.Sc CS|BCA,1-2 years,1,1,3,17,2024-07-23,2025-06-11,1,0.36,1
LIST0030,Epic Games,Game Development Intern,Game Development,Remote,Remote,Singapore,1801,SGD,6,C++|Game Physics|Unreal Engine|DirectX|Unity|Godot,6,C#|OpenGL,5.9,3,Electronics|AI & Data Science|Computer Science|Computer Engineering,MCA,1-2 years,1,1,14,297,2024-10-28,2025-11-14,1,0.6,1
LIST0031,Agara Labs,Machine Learning Intern,Machine Learning,On-site,Ahmedabad,India,20267,INR,6,Jupyter|XGBoost|MLflow|Scikit-learn,4,Keras|Feature Engineering,6.5,2,Computer Science|Electronics|Computer Engineering|Information Technology|AI & Data Science,BCA|B.E.|B.Tech,Fresher,0,1,11,61,2024-09-14,2025-08-01,0,0.4,1
LIST0032,Confluent,Data Engineering Intern,Data Engineering,Remote,Remote,Singapore,3890,SGD,3,Apache Spark|Kafka|Airflow,3,dbt|SQL,5.1,3,Computer Engineering|Information Technology,B.E.,0-1 year,0,1,1,30,2024-07-17,2025-10-07,1,0.27,0
LIST0033,Postman,DevOps Intern,DevOps,Hybrid,Chennai,India,15991,INR,6,Docker|Terraform|Kubernetes|Jenkins|Linux,5,Git|CI/CD,7.3,2,AI & Data Science|Information Technology|Computer Science|Electronics,MCA|B.Sc CS,1-2 years,1,1,16,81,2024-09-01,2025-08-21,0,0.45,0
LIST0034,NVIDIA,Computer Vision Intern,Computer Vision,Remote,Remote,Singapore,915,SGD,3,Image Processing|Python|TensorFlow|NumPy|Deep Learning|MediaPipe,6,YOLO|Keras,7.4,3,Electronics|Information Technology|AI & Data Science|Computer Engineering,B.Sc CS|M.Tech|B.Tech,0-1 year,0,1,3,17,2024-06-26,2025-11-16,1,0.6,1
LIST0035,Lucideus,Cybersecurity Intern,Cybersecurity,Hybrid,Mumbai,India,12348,INR,2,Burp Suite|OWASP|Python|Networking|Cryptography,5,Wireshark|SIEM,5.9,2,Information Technology|Computer Engineering|AI & Data Science,B.E.,1-2 years,0,1,2,20,2024-09-05,2025-05-12,0,0.45,1
LIST0036,TCS,Cloud Computing Intern,Cloud Computing,On-site,Chennai,India,15835,INR,2,Docker|Kubernetes|Linux,3,Azure|CloudFormation,5.0,3,AI & Data Science|Electronics|Information Technology,B.E.|M.Tech,Fresher,0,1,15,441,2024-12-17,2025-04-14,0,0.25,0
LIST0037,PagerDuty,DevOps Intern,DevOps,Remote,Remote,Singapore,953,SGD,1,CI/CD|Terraform|Git|Kubernetes,4,Prometheus|Grafana,5.4,1,Electronics|Computer Engineering|Computer Science|AI & Data Science,B.Tech,0-1 year,0,1,3,20,2024-06-03,2025-02-04,1,0.36,1
LIST0038,99Games,Game Development Intern,Game Development,Hybrid,Noida,India,27645,INR,6,OpenGL|C#|DirectX,3,Unreal Engine|Game Physics,5.8,1,Information Technology|AI & Data Science|Electronics|Computer Science,B.Tech|B.E.|M.Tech,0-1 year,0,1,8,121,2024-08-24,2025-09-18,0,0.3,0
LIST0039,Continental,Embedded Systems / IoT Intern,Embedded Systems / IoT,On-site,Bangalore,India,9104,INR,6,Assembly|C++|Arduino|Raspberry Pi,4,RTOS|FreeRTOS,7.1,3,Computer Engineering|Information Technology|Computer Science|AI & Data Science,M.Tech|BCA|MCA,1-2 years,1,1,17,283,2024-10-09,2025-05-24,0,0.36,0
LIST0040,Gameberry Labs,Game Development Intern,Game Development,On-site,Chennai,India,32640,INR,2,C++|Godot|Unreal Engine|DirectX|Unity|Game Physics,6,Blender|OpenGL,7.2,3,Computer Science|Electronics|AI & Data Science,B.Tech|B.Sc CS,1-2 years,0,1,2,14,2024-08-20,2025-03-22,0,0.6,0
LIST0041,WazirX,Blockchain Intern,Blockchain,Hybrid,Pune,India,28648,INR,3,Smart Contracts|MetaMask|Web3.js|Rust|IPFS|Ethereum,6,Hardhat|Truffle,5.7,3,Electronics|Information Technology,B.Sc CS|MCA,0-1 year,0,1,1,59,2024-10-10,2025-03-07,0,0.6,1
LIST0042,Zepto,Web Development Intern,Web Development,Hybrid,Noida,India,32685,INR,6,REST API|Flask|Angular|Bootstrap,4,CSS|JavaScript,6.9,3,Computer Science|AI & Data Science|Computer Engineering,B.Tech,0-1 year,1,1,14,531,2024-06-20,2025-02-16,0,0.31,1
LIST0043,King,Game Development Intern,Game Development,On-site,San Francisco,USA,3308,USD,1,DirectX|Game Physics|C++,3,C#|Shader Programming,6.7,1,Information Technology|Computer Science,B.Sc CS|M.Tech|B.E.,1-2 years,0,1,10,205,2024-12-02,2025-10-16,1,0.3,1
LIST0044,HashiCorp,DevOps Intern,DevOps,Hybrid,London,UK,1645,GBP,2,Kubernetes|Ansible|Jenkins,3,Grafana|Prometheus,5.5,2,Computer Engineering|Computer Science|Electronics|Information Technology,B.E.|MCA,Fresher,1,1,17,501,2024-09-08,2025-02-03,1,0.27,0
LIST0045,ARM,Embedded Systems / IoT Intern,Embedded Systems / IoT,On-site,Austin,USA,3212,USD,6,Arduino|Assembly|FreeRTOS|Raspberry Pi|C++,5,IoT Protocols|Sensors,5.6,2,AI & Data Science|Computer Engineering|Computer Science|Electronics|Information Technology,M.Tech|MCA,0-1 year,0,1,2,13,2024-09-18,2025-08-22,1,0.45,1
LIST0046,Mad Street Den,Computer Vision Intern,Computer Vision,On-site,Mumbai,India,14145,INR,3,OpenCV|PyTorch|Deep Learning|MediaPipe,4,TensorFlow|Keras,6.0,3,Computer Engineering|Electronics|Computer Science|AI & Data Science,M.Tech|BCA,0-1 year,1,1,11,149,2024-08-18,2025-03-01,0,0.4,1
LIST0047,Palantir,Data Science Intern,Data Science,Remote,Remote,Singapore,2683,SGD,1,Statistics|Seaborn|Pandas|Python|R,5,SciPy|Power BI,6.3,3,Computer Science|AI & Data Science|Information Technology|Computer Engineering,B.Tech|BCA|B.E.,1-2 years,0,1,2,36,2024-09-11,2025-05-21,1,0.42,1
LIST0048,PagerDuty,DevOps Intern,DevOps,On-site,Austin,USA,938,USD,6,Grafana|Kubernetes|Terraform|Jenkins,4,Git|Bash,5.8,2,Electronics|Information Technology,M.Tech,Fresher,0,1,9,172,2024-12-08,2025-07-08,1,0.36,1
LIST0049,Zomato,Web Development Intern,Web Development,Hybrid,Gurgaon,India,34485,INR,1,Node.js|Django|REST API|Angular,4,CSS|Bootstrap,6.7,1,AI & Data Science|Computer Engineering|Electronics,B.E.|BCA|B.Tech,1-2 years,0,1,13,247,2024-12-28,2025-09-14,0,0.31,0
LIST0050,DataRobot,Data Science Intern,Data Science,Hybrid,London,UK,3922,GBP,3,Python|Power BI|Matplotlib,3,Statistics|R,6.7,2,Information Technology|Computer Engineering|Electronics|AI & Data Science,B.Tech|M.Tech,Fresher,0,1,4,133,2024-09-17,2025-10-28,1,0.25,0
LIST0051,OLA,Data Engineering Intern,Data Engineering,Hybrid,Pune,India,34812,INR,2,Scala|Apache Spark|dbt|SQL|Snowflake,5,BigQuery|Python,7.2,3,Information Technology|AI & Data Science|Electronics|Computer Science|Computer Engineering,B.Tech|M.Tech|MCA,1-2 years,0,1,12,470,2024-06-08,2025-10-02,0,0.45,0
LIST0052,Lyft,Android Development Intern,Android Development,On-site,Seattle,USA,1520,USD,1,MVVM|Retrofit|Jetpack Compose|SQLite,4,Firebase|Java,7.4,1,Electronics|AI & Data Science|Computer Engineering|Information Technology,MCA|B.Tech,Fresher,0,1,19,610,2024-06-11,2025-10-02,1,0.4,1
LIST0053,Microsoft,Machine Learning Intern,Machine Learning,Remote,Remote,Singapore,1658,SGD,6,XGBoost|Python|MLflow,3,PyTorch|Scikit-learn,6.1,3,Information Technology|Computer Science|Electronics|Computer Engineering,M.Tech|B.Sc CS|B.E.,1-2 years,0,1,3,41,2024-06-24,2025-06-02,1,0.3,1
LIST0054,Mobileye,Computer Vision Intern,Computer Vision,Remote,Remote,Singapore,1716,SGD,6,MediaPipe|PyTorch|Image Processing,3,YOLO|Deep Learning,5.3,2,Electronics|AI & Data Science|Information Technology,B.Sc CS|MCA,0-1 year,0,1,16,300,2024-10-08,2025-10-20,1,0.3,1
LIST0055,Airbnb,Android Development Intern,Android Development,On-site,Austin,USA,3518,USD,3,MVVM|XML|Jetpack Compose|Android Studio|SQLite,5,Firebase|Kotlin,5.4,1,Computer Engineering|AI & Data Science|Information Technology|Computer Science,B.Tech|BCA,Fresher,0,1,15,69,2024-09-20,2025-07-04,1,0.5,1
LIST0056,Retool,Full Stack Development Intern,Full Stack Development,Hybrid,Singapore,Singapore,941,SGD,3,React|PostgreSQL|Docker,3,Redis|MongoDB,5.6,2,Computer Science|Electronics|Computer Engineering|AI & Data Science,BCA,1-2 years,0,1,1,18,2024-07-22,2025-04-18,1,0.3,1
LIST0057,Minda Industries,Embedded Systems / IoT Intern,Embedded Systems / IoT,On-site,Pune,India,17698,INR,2,C|MQTT|Sensors|RTOS,4,C++|FreeRTOS,6.3,3,Electronics|Information Technology|Computer Science|AI & Data Science,B.Sc CS|M.Tech,1-2 years,0,1,11,74,2024-11-04,2025-10-13,0,0.36,0
LIST0058,dbt Labs,Data Engineering Intern,Data Engineering,Remote,Remote,Singapore,1556,SGD,3,BigQuery|dbt|Apache Spark|Snowflake|ETL|Airflow,6,Hadoop|Scala,6.1,2,Computer Science|Electronics|Information Technology,B.Tech,1-2 years,1,1,10,237,2024-09-28,2025-11-05,1,0.55,1
LIST0059,CERT-In Partner,Cybersecurity Intern,Cybersecurity,Remote,Remote,India,18131,INR,6,Networking|Linux|SIEM,3,Python|Metasploit,7.1,3,Electronics|Computer Engineering|AI & Data Science|Computer Science,B.Tech|BCA,0-1 year,0,1,2,2,2024-07-22,2025-04-27,0,0.27,0
LIST0060,Freshworks,Web Development Intern,Web Development,Remote,Remote,India,13729,INR,2,Node.js|REST API|CSS,3,Django|Angular,6.6,3,Computer Science|Computer Engineering|AI & Data Science|Information Technology,B.Tech|MCA|B.Sc CS,1-2 years,1,1,1,61,2024-11-20,2025-03-12,0,0.23,0
LIST0061,Observe.AI,NLP / GenAI Intern,NLP / GenAI,On-site,Bangalore,India,11660,INR,6,GPT|OpenAI API|Hugging Face,3,Transformers|RAG,6.0,3,AI & Data Science|Computer Engineering|Electronics|Information Technology,M.Tech,Fresher,1,1,20,1447,2024-06-02,2025-07-26,0,0.27,0
LIST0062,ARM,Embedded Systems / IoT Intern,Embedded Systems / IoT,On-site,San Francisco,USA,966,USD,1,MQTT|RTOS|Sensors|Arduino,4,FreeRTOS|Raspberry Pi,5.3,3,AI & Data Science|Information Technology|Computer Science|Computer Engineering|Electronics,MCA|M.Tech,0-1 year,0,1,10,23,2024-07-14,2025-03-18,1,0.36,1
LIST0063,Housing.com,Full Stack Development Intern,Full Stack Development,On-site,Noida,India,20932,INR,1,Express.js|Node.js|MongoDB|Docker|GraphQL|REST API,6,TypeScript|Redis,5.6,2,Computer Engineering|AI & Data Science,MCA,0-1 year,1,1,20,1059,2024-09-20,2025-04-20,0,0.6,1
LIST0064,Vercel,Web Development Intern,Web Development,On-site,Singapore,Singapore,3677,SGD,3,CSS|TypeScript|JavaScript,3,HTML|Bootstrap,5.0,3,AI & Data Science|Electronics|Computer Engineering,B.E.|B.Tech,Fresher,1,1,7,184,2024-09-04,2025-12-06,1,0.23,0
LIST0065,CoRover.ai,NLP / GenAI Intern,NLP / GenAI,Hybrid,Noida,India,33935,INR,3,Hugging Face|Vector DBs|Python|OpenAI API,4,GPT|NLTK,5.2,1,Computer Engineering|Information Technology|Electronics|Computer Science,B.Tech|BCA|B.E.,0-1 year,1,1,18,161,2024-06-08,2025-08-05,0,0.36,1
LIST0066,CRED,Android Development Intern,Android Development,On-site,Gurgaon,India,11674,INR,6,Android Studio|Retrofit|XML,3,Java|MVVM,6.1,1,Information Technology|Electronics|Computer Science|AI & Data Science|Computer Engineering,M.Tech|B.Tech,1-2 years,0,1,20,351,2024-11-22,2025-02-03,0,0.3,0
LIST0067,Google Cloud,Cloud Computing Intern,Cloud Computing,On-site,San Francisco,USA,2207,USD,1,GCP|S3|Docker,3,Terraform|AWS,5.7,3,Information Technology|Electronics|AI & Data Science|Computer Science|Computer Engineering,MCA|B.Sc CS,1-2 years,0,1,15,905,2024-06-07,2025-01-26,1,0.25,0
LIST0068,Confluent,Data Engineering Intern,Data Engineering,On-site,Toronto,Canada,868,CAD,2,Snowflake|Python|SQL|dbt|BigQuery|Hadoop,6,ETL|Scala,5.7,2,Information Technology|AI & Data Science,M.Tech|BCA,0-1 year,0,1,16,177,2024-07-14,2025-03-28,1,0.55,1
LIST0069,CoRover.ai,NLP / GenAI Intern,NLP / GenAI,Hybrid,Chennai,India,19966,INR,2,Hugging Face|Python|Vector DBs|RAG|BERT|GPT,6,NLTK|OpenAI API,6.0,2,AI & Data Science|Computer Science,B.Tech,0-1 year,0,1,9,129,2024-08-20,2025-03-27,0,0.55,1
LIST0070,SigTuple,Computer Vision Intern,Computer Vision,On-site,Noida,India,25777,INR,1,TensorFlow|Python|Image Processing,3,Deep Learning|PyTorch,5.6,2,Computer Science|Information Technology,MCA|B.Sc CS|B.Tech,0-1 year,0,1,18,240,2024-08-27,2025-02-11,0,0.3,0
LIST0071,CoinDCX,Blockchain Intern,Blockchain,Remote,Remote,India,22764,INR,2,Hardhat|Rust|Solidity,3,DeFi|IPFS,5.2,3,Information Technology|Computer Engineering,B.Tech|M.Tech,Fresher,0,1,16,169,2024-09-01,2025-06-26,0,0.3,0
LIST0072,Texas Instruments,Embedded Systems / IoT Intern,Embedded Systems / IoT,Remote,Remote,Singapore,2791,SGD,1,FreeRTOS|Raspberry Pi|MQTT|Sensors,4,C++|IoT Protocols,5.7,1,Electronics|Computer Science|AI & Data Science,B.Tech|MCA|B.Sc CS,1-2 years,1,1,12,454,2024-12-07,2025-04-25,1,0.36,1
LIST0073,Polygon,Blockchain Intern,Blockchain,Remote,Remote,India,24887,INR,3,Ethereum|Smart Contracts|Web3.js|Rust|Truffle,5,IPFS|DeFi,6.6,3,Information Technology|Computer Science,MCA,1-2 years,0,1,8,111,2024-11-12,2025-10-22,0,0.5,0
LIST0074,CRED,Android Development Intern,Android Development,Hybrid,Kolkata,India,34413,INR,3,Jetpack Compose|MVVM|REST API|Firebase|SQLite,5,XML|Android Studio,6.5,1,Computer Science|Electronics|Computer Engineering|Information Technology,BCA|MCA,1-2 years,0,1,18,515,2024-07-14,2025-03-16,0,0.5,1
LIST0075,Sankalp Semiconductor,Embedded Systems / IoT Intern,Embedded Systems / IoT,Hybrid,Noida,India,16411,INR,2,Arduino|Raspberry Pi|FreeRTOS|IoT Protocols|RTOS,5,Assembly|PCB Design,6.1,1,Computer Science|Electronics|Information Technology,M.Tech,1-2 years,0,1,18,1091,2024-09-21,2025-07-20,0,0.45,1
LIST0076,CoRover.ai,NLP / GenAI Intern,NLP / GenAI,Hybrid,Pune,India,16886,INR,3,RAG|NLTK|Hugging Face,3,GPT|LangChain,5.6,3,Information Technology|Electronics|Computer Engineering,B.Sc CS|MCA|BCA,0-1 year,1,1,3,106,2024-10-04,2025-09-06,0,0.27,0
LIST0077,Dunzo,iOS Development Intern,iOS Development,Remote,Remote,India,18841,INR,2,Swift|Core Data|Firebase|Xcode,4,SwiftUI|Combine,6.3,3,Information Technology|Computer Engineering|Computer Science|Electronics,B.E.|B.Tech|BCA,0-1 year,0,1,16,91,2024-11-03,2025-02-06,0,0.4,1
LIST0078,Notion,Full Stack Development Intern,Full Stack Development,Hybrid,Austin,USA,2581,USD,2,Redis|Express.js|Node.js|Docker|TypeScript,5,GraphQL|React,6.3,1,AI & Data Science|Electronics|Computer Science|Computer Engineering,B.E.|M.Tech,Fresher,0,1,8,110,2024-06-09,2025-08-11,1,0.5,1
LIST0079,dbt Labs,Data Engineering Intern,Data Engineering,On-site,Austin,USA,1222,USD,2,BigQuery|Snowflake|ETL|SQL,4,Hadoop|Python,6.2,1,Computer Engineering|Information Technology|Computer Science,MCA|B.Sc CS,0-1 year,1,1,18,353,2024-06-16,2025-10-11,1,0.36,1
LIST0080,Wadhwani AI,Machine Learning Intern,Machine Learning,On-site,Ahmedabad,India,13884,INR,2,XGBoost|Model Deployment|Scikit-learn|Feature Engineering|PyTorch,5,MLflow|Python,5.6,2,Computer Science|Information Technology|AI & Data Science|Electronics,BCA,Fresher,1,1,18,66,2024-11-01,2025-04-25,0,0.5,1
LIST0081,Sankalp Semiconductor,Embedded Systems / IoT Intern,Embedded Systems / IoT,Remote,Remote,India,14611,INR,3,Sensors|Assembly|C++|PCB Design|C|IoT Protocols,6,Arduino|MQTT,5.7,2,AI & Data Science|Electronics|Computer Science|Information Technology,M.Tech|BCA|MCA,Fresher,0,1,10,596,2024-06-18,2025-01-02,0,0.55,1
LIST0082,Hedera,Blockchain Intern,Blockchain,Hybrid,London,UK,1633,GBP,1,Rust|Ethereum|Hardhat,3,MetaMask|Smart Contracts,6.4,2,AI & Data Science|Electronics|Computer Engineering|Computer Science,B.E.,1-2 years,0,1,19,785,2024-12-20,2025-06-03,1,0.3,1
LIST0083,CoinDCX,Blockchain Intern,Blockchain,On-site,Kolkata,India,29845,INR,2,MetaMask|Solidity|IPFS|Web3.js,4,Hardhat|Ethereum,7.1,1,Electronics|Computer Engineering,M.Tech|B.Tech|B.Sc CS,1-2 years,0,1,8,25,2024-12-04,2025-08-23,0,0.4,0
LIST0084,Notion,Full Stack Development Intern,Full Stack Development,Hybrid,Singapore,Singapore,2252,SGD,2,Node.js|TypeScript|PostgreSQL|Docker,4,Express.js|GraphQL,7.0,2,Computer Science|Information Technology|AI & Data Science,M.Tech|B.Tech,Fresher,1,1,7,418,2024-12-21,2025-12-23,1,0.4,1
LIST0085,Swiggy,Web Development Intern,Web Development,Hybrid,Delhi,India,9649,INR,2,CSS|TypeScript|Django|Angular,4,JavaScript|REST API,5.1,1,Electronics|Computer Engineering,B.Tech,0-1 year,0,1,2,24,2024-09-22,2025-10-01,0,0.31,0
